Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Herpes simplex virus 1 infection,4/498,7.079005473277629e-05,0.0002287063306751234,0,0,26.31039136302294,251.41662827732443,STAT2;JAK2;PML;JAK1
Chemokine signaling pathway,3/192,9.945547614747292e-05,0.0003094170369032492,0,0,44.900226757369616,413.7915317450212,STAT2;STAT3;JAK2
Focal adhesion,3/201,0.00011391722469094212,0.0003417516740728264,0,0,42.83982683982684,388.9872758612831,HGF;ERBB2;IGF1R
Human cytomegalovirus infection,3/225,0.00015903665127190174,0.0004606578864427499,0,0,38.16216216216216,333.78061432656835,STAT3;MDM2;JAK1
Coronavirus disease,3/232,0.0001740955564846701,0.0004874675581570762,0,0,36.9825327510917,320.1173358000829,STAT2;STAT3;JAK1
Bladder cancer,2/41,0.0001825931686229406,0.0004947685859460326,0,0,127.89102564102564,1100.9179217565816,ERBB2;MDM2
Endocytosis,3/252,0.000222168332184758,0.0005831918719849897,0,0,33.9776247848537,285.82233515877044,MDM2;PML;IGF1R
MAPK signaling pathway,3/294,0.0003495013996227882,0.0008896399263125517,0,0,29.01178203240059,230.9048599891265,HGF;ERBB2;IGF1R
Acute myeloid leukemia,2/67,0.0004889339976743091,0.0012079545824894,0,0,76.63461538461539,584.2073646335838,STAT3;PML
Adipocytokine signaling pathway,2/69,0.0005185109646488796,0.0012444263151573,0,0,74.33955223880596,562.3452140692101,STAT3;JAK2
Prolactin signaling pathway,2/70,0.0005336190066674734,0.0012451110155574,0,0,73.24264705882354,551.9440230421153,STAT3;JAK2
Adherens junction,2/71,0.0005489398561006515,0.0012462418354717,0,0,72.17753623188406,541.8744176501575,ERBB2;IGF1R
Glioma,2/75,0.0006123478582810164,0.0013536110551475,0,0,68.20890410958904,504.62379927214783,MDM2;IGF1R
Chronic myeloid leukemia,2/76,0.000628730143298291,0.0013541880009501,0,0,67.28378378378379,496.00316371132106,HDAC1;MDM2
Leishmaniasis,2/77,0.000645324195743907,0.0013551808110622,0,0,66.38333333333334,487.6358845330483,JAK2;JAK1
Th1 and Th2 cell differentiation,2/92,0.0009195296371531132,0.0018839143785575,0,0,55.27777777777778,386.4827800673363,JAK2;JAK1
AGE-RAGE signaling pathway in diabetic complications,2/100,0.0010850384206118,0.0021700768412237,0,0,50.74489795918368,346.39177176286466,STAT3;JAK2
Longevity regulating pathway,2/102,0.0011284954391627,0.0022045027183644,0,0,49.725,337.4771109100563,HDAC1;IGF1R
C-type lectin receptor signaling pathway,2/104,0.0011727816519245,0.0022389467900377,0,0,48.74509803921568,328.95029221317066,STAT2;MDM2
"Growth hormone synthesis, secretion and action",2/119,0.0015312212856459,0.0028582797332058,0,0,42.46367521367522,275.23636354227165,STAT3;JAK2
Thyroid hormone signaling pathway,2/121,0.0015825006890192,0.0028897838669047,0,0,41.74579831932773,269.2081738529276,HDAC1;MDM2
Cell cycle,2/124,0.001660949908746,0.0029685062198864,0,0,40.71311475409836,260.57881938904427,HDAC1;MDM2
Osteoclast differentiation,2/127,0.001741231214115,0.0030471546247012,0,0,39.73,252.41115890469297,STAT2;JAK1
Ubiquitin mediated proteolysis,2/140,0.0021101767489403,0.0036174458553262,0,0,35.96376811594203,221.5721843960484,MDM2;PML
Breast cancer,2/147,0.0023229246092663,0.0039025133435674,0,0,34.21551724137931,207.51465812385604,ERBB2;IGF1R
Gastric cancer,2/149,0.002385509588893,0.0039290746170002,0,0,33.74659863945578,203.77352124587756,HGF;ERBB2
Hepatocellular carcinoma,2/168,0.0030196545174147,0.0048779034512084,0,0,29.85542168674699,173.2394535917386,HGF;IGF1R
Tuberculosis,2/180,0.0034567374250082,0.0054357762346202,0,0,27.825842696629213,157.70101777528257,JAK2;JAK1
NOD-like receptor signaling pathway,2/181,0.0034944275793987,0.0054357762346202,0,0,27.66899441340782,156.51203811645684,STAT2;JAK1
Rap1 signaling pathway,2/210,0.004671210764967,0.007134212804677,0,0,23.776442307692307,127.59240152438092,HGF;IGF1R
Lipid and atherosclerosis,2/215,0.0048903120778248,0.0073354681167372,0,0,23.212441314553992,123.5017744677154,STAT3;JAK2
Ras signaling pathway,2/232,0.0056704010689071,0.0083563805225999,0,0,21.47826086956522,111.09620615967964,HGF;IGF1R
Chemical carcinogenesis,2/239,0.0060072711901163,0.0086222949752377,0,0,20.83649789029536,106.57420016184636,STAT3;JAK2
Calcium signaling pathway,2/240,0.0060561357564169,0.0086222949752377,0,0,20.747899159663863,105.95295110838458,HGF;ERBB2
Malaria,1/50,0.024725948817258,0.0346163283441612,0,0,45.21768707482993,167.3010120823387,HGF
Ovarian steroidogenesis,1/51,0.0252148061968427,0.0347220282054883,0,0,44.31111111111111,163.07924167915206,IGF1R
Endometrial cancer,1/58,0.0286306380412391,0.0387898967010337,0,0,38.85575048732944,138.06527849839193,ERBB2
Notch signaling pathway,1/59,0.0291177336711439,0.0388236448948585,0,0,38.18390804597701,135.03387352863817,HDAC1
Long-term depression,1/60,0.0296046094730556,0.0388560499333855,0,0,37.53483992467044,132.1160756075347,IGF1R
Inflammatory bowel disease,1/65,0.0320356942028436,0.0413999740467517,0,0,34.59375,119.03379191454992,STAT3
Amphetamine addiction,1/69,0.033976614095502,0.0425698368306522,0,0,32.552287581699346,110.09453231300331,HDAC1
Renal cell carcinoma,1/69,0.033976614095502,0.0425698368306522,0,0,32.552287581699346,110.09453231300331,HGF
Central carbon metabolism in cancer,1/70,0.0344612964819566,0.0425698368306522,0,0,32.07890499194847,108.03913520130236,ERBB2
p53 signaling pathway,1/73,0.0359140308301434,0.0437214288366964,0,0,30.73765432098765,102.2527178173034,MDM2
ErbB signaling pathway,1/85,0.0417053180950637,0.0500463817140765,0,0,26.33068783068783,83.65592938917332,ERBB2
