Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Programmed Cell Death,1/202,0.0965514597102952,0.1013421809936304,0,0,10.939192924267552,25.572323233557647,STAT3
Neurotransmitter Receptors and Postsynaptic Signal Transmission,1/204,0.0974639172202934,0.1019109400592422,0,0,10.83032293377121,25.21594900155374,MDM2
HCMV Early Events,1/205,0.0979198348783282,0.1019998279982586,0,0,10.77668845315904,25.04077952879582,PML
Signaling by NOTCH,1/209,0.0997414334930266,0.1035052611720087,0,0,10.567307692307692,24.359484069513947,HDAC1
HCMV Infection,1/259,0.122233756645514,0.1263694852538209,0,0,8.497846683893195,17.860944367236254,PML
Cell Cycle Checkpoints,1/261,0.1231228350253671,0.1267945683374833,0,0,8.431623931623932,17.660649836680896,MDM2
"Platelet Activation, Signaling and Aggregation",1/262,0.1235670702343473,0.1267945683374833,0,0,8.398893146019583,17.561843608876003,HGF
Deubiquitination,1/268,0.126228230552969,0.1290168097518893,0,0,8.207657095297545,16.98708959891292,MDM2
Transmission Across Chemical Synapses,1/269,0.1266710495745822,0.1290168097518893,0,0,8.176616915422885,16.89421281761591,MDM2
Signaling by WNT,1/287,0.1346073317523785,0.1365941558372845,0,0,7.655011655011655,15.351309793110229,HDAC1
Epigenetic Regulation of Gene Expression,1/291,0.1363621106304826,0.1378661044977306,0,0,7.547892720306513,15.03873358743797,HDAC1
Neuronal System,1/411,0.1875392016673535,0.1889131152326821,0,0,5.306233062330623,8.881399809693884,MDM2
Axon Guidance,1/541,0.2398867459503294,0.2407622450231408,0,0,4.002057613168724,5.713290860165901,ERBB2
Nervous System Development,1/567,0.2499844025591515,0.2499844025591515,0,0,3.8131134668237134,5.286335604036569,ERBB2
