Feature,Fisher Score,Normalized Fisher Score
ZSCAN16-AS1,0.027453072273804894,0.10139259299082251
YLPM1,0.04013332116841072,0.21334021494069558
LUC7L,0.03225228787444265,0.14376248479512918
LUC7L.1,0.04435607510677103,0.2506208129327425
TTBK2,0.06791439304084128,0.4586055056448955
LOC101929132,0.01777237675906112,0.015926538601512663
HECTD1,0.02240586158943915,0.0568332757178708
LOC283588,0.02991542417762025,0.12313147543130325
PLD1,0.026221170332099482,0.09051674236710028
LOC101928837,0.01704822599797578,0.009533371061151496
KMT2C,0.020214661825015762,0.03748826089338493
KLHL18,0.022457393457139554,0.05728822499305024
PDCD4,0.016751175702187086,0.0069108614803500695
IRAK1BP1,0.023349325913647308,0.0651626538213698
TPR,0.04732466744754591,0.27682904085086535
ZNF814,0.038109395771282105,0.19547198245600947
GEN1,0.060904526253982065,0.3967188720703673
ITSN1,0.019387484581067656,0.030185523686827986
ZNF519,0.023110734228669255,0.063056246291651
GTF2IRD2,0.022175761673334567,0.05480183779950855
CASC23,0.01727401565517413,0.011526755843605189
SOS1,0.023746147785818912,0.06866599711506535
MYCBP2,0.01872189434392859,0.024309357938025727
LOC440862///ATP6V1E2,0.024339223739598362,0.0739019702582665
LOC284009///METTL16,0.037641686027272074,0.1913428053365461
DGCR10,0.022745926670223602,0.059835541479247585
PCCB,0.01977199681831398,0.03358019132530492
CFAP58,0.02588123739251643,0.08751564321478467
GINS2,0.020801391658642136,0.042668207292501655
LOC101929748,0.016600439266540933,0.005580084328257624
ZNF286A,0.03407119431987009,0.1598207067438734
POLH,0.0241171608370335,0.07194148714219788
PIKFYVE,0.023420420344086045,0.06579031125046673
LOC285847,0.036981967748602934,0.18551848019374143
PCBP1-AS1,0.017961973217248395,0.01760039159924153
IPO11,0.019862600532765513,0.034380086536903595
MAP3K14-AS1,0.030320038357596998,0.1267036131418543
HSP90AB1,0.05009819480590012,0.3013151368858375
CEP78,0.03463204253080283,0.16477215714603938
STRAP,0.030140747789595673,0.12512074573186768
LOC441081,0.02841054672783051,0.10984565957467467
PRKAB2,0.02684404993597724,0.09601583713998418
NORAD,0.01830490998882246,0.020628010092851284
SNORA65,0.02444199806760108,0.07480931377439377
SNHG4///MATR3,0.020523785177300878,0.040217357495913986
LOC283788,0.022650958577371417,0.058997115337593574
LOC283788.1,0.020238585770378383,0.03769947352913559
NUDCD2,0.018686009418013513,0.02399254774341281
TAF11,0.0202632865064704,0.037917544064571915
TAF11.1,0.07348855885684068,0.507817048150253
BAIAP2-AS1,0.022723928183216426,0.05964132775935789
MGC16275,0.016773909695359076,0.0071115686190018615
LUZP1,0.027887754784520918,0.10523018906502574
UBTF,0.017131445335427018,0.010268073274439548
KCNJ2-AS1,0.0207085130345861,0.04184822803346103
PPFIA2,0.02019223674880794,0.03729028102923746
PAQR9,0.03258529060644382,0.14670240058544154
DIXDC1,0.017404446620213575,0.012678266077052133
DET1,0.019894996373072533,0.03466609332695812
MPHOSPH9,0.02303861475055906,0.062419539225582535
SYNE2,0.023983073491350544,0.07075769653938384
KRT7,0.016817368829441556,0.0074952477370516645
ANKRD24,0.020922855316468942,0.04374054962269269
LINC00622,0.028235857726328292,0.10830341711070457
ABCC5,0.021551238168129577,0.04928822983797719
LMF1,0.022390079861112924,0.05669394667385405
BEND5,0.023059201163635107,0.06260128644580641
LOC100131496,0.016650125006032756,0.006018735054056595
TMED4,0.02459800084438117,0.07618658483770369
FAAP20,0.017231576543050953,0.0111520819930095
VNN1,0.018535062175958086,0.0226599094861949
FLJ37786,0.023069334472430276,0.06269074839813334
ZNF33B,0.020870314397014398,0.043276691930554
DLGAP4-AS1,0.0451216646044787,0.2573798225050728
SPATA22,0.017752838402788716,0.01575404415446475
LOC284014,0.023582358626676205,0.06721998394769012
ZBTB38,0.017838695192999052,0.016512031128709793
SNX29,0.02059537597215833,0.04084939708002673
CLASP2,0.018265598395852595,0.020280947556096995
LOC101928307,0.03941643081935454,0.20701114597346149
ZNF664,0.01808181061343924,0.018658376472861546
LINC00907,0.02053976685894243,0.04035845182847812
CEP164,0.029529607674633713,0.11972529307815302
UBALD1,0.04426421795094907,0.24980985170959794
FOXP1,0.016458841694611124,0.00432998966661723
PRR26,0.02312296241366804,0.06316420286590718
EXOSC1,0.02535652225603292,0.08288319378743783
