Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
2Q21 1 Copy Number Variation Syndrome WP5223,1/16,0.0079729589968486,0.013412454387222,0,0,147.96296296296296,714.9125872208035,STAT3
Transcription Co Factors SKI And SKIL Protein Partners WP4533,1/18,0.0089655500933473,0.0149425834889122,0,0,130.54248366013073,615.425022203049,HDAC1
TP53 Network WP1742,1/19,0.0094615105123957,0.0154824717475566,0,0,123.28395061728396,574.5677163606151,MDM2
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300,1/19,0.0094615105123957,0.0154824717475566,0,0,123.28395061728396,574.5677163606151,STAT3
Cell Differentiation Expanded Index WP2023,1/20,0.0099572476243861,0.0160027193963349,0,0,116.78947368421052,538.3357753631753,STAT3
Ca Mediated T Cell Apoptosis Inclusion Body Myositis WP5142,1/20,0.0099572476243861,0.0160027193963349,0,0,116.78947368421052,538.3357753631753,HDAC1
Nuclear Receptors Meta Pathway WP2882,2/314,0.0101737523540959,0.0162059772012147,0,0,15.767628205128204,72.34099796047286,HGF;STAT3
Cancer Immunotherapy By PD 1 Blockade WP4585,1/23,0.0114431199495764,0.0180680841309101,0,0,100.84848484848484,450.8296990682604,STAT3
Physiological And Pathological Hypertrophy Of The Heart WP1528,1/24,0.0119379646683197,0.0185244279335996,0,0,96.45893719806764,427.1232267263204,STAT3
miRNA Regulation Of P53 Pathway In Prostate Cancer WP3982,1/24,0.0119379646683197,0.0185244279335996,0,0,96.45893719806764,427.1232267263204,MDM2
Wnt Beta Catenin Signaling In Leukemia WP3658,1/26,0.0129269855424658,0.0197191304885072,0,0,88.73333333333333,385.85142072369416,PML
Growth Factors And Hormones In Beta Cell Proliferation WP5385,1/26,0.0129269855424658,0.0197191304885072,0,0,88.73333333333333,385.85142072369416,IGF1R
Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559,1/28,0.0139151155631478,0.0210480739610639,0,0,82.1522633744856,351.18281785053944,STAT3
Dopaminergic Neurogenesis WP2855,1/30,0.0149023554252653,0.022353533137898,0,0,76.47892720306514,321.6884165593148,STAT3
Ethanol Effects On Histone Modifications WP3996,1/31,0.0153956417644848,0.0225302074602217,0,0,73.92592592592592,308.5424792813036,HDAC1
16P11 2 Distal Deletion Syndrome WP4950,1/31,0.0153956417644848,0.0225302074602217,0,0,73.92592592592592,308.5424792813036,JAK2
miRNA Regulation Of Prostate Cancer Signaling WP3981,1/31,0.0153956417644848,0.0225302074602217,0,0,73.92592592592592,308.5424792813036,MDM2
Initiation Of Transcription And Translation Elongation HIV1 LTR WP3414,1/32,0.0158887058240637,0.0226981511772339,0,0,71.53763440860214,296.3193797028303,HDAC1
2Q11 2 Copy Number Variation Syndrome WP5221,1/32,0.0158887058240637,0.0226981511772339,0,0,71.53763440860214,296.3193797028303,ERBB2
Prion Disease Pathway WP3995,1/32,0.0158887058240637,0.0226981511772339,0,0,71.53763440860214,296.3193797028303,STAT3
Cardiomyocyte Signaling Converging On Titin WP5344,1/33,0.0163815476907073,0.0232179416088764,0,0,69.29861111111111,284.9281499305533,MDM2
Factors And Pathways Affecting IGF1 Akt Signaling WP3850,1/36,0.0178587410119325,0.0251138545480301,0,0,63.34920634920635,254.99716559529236,IGF1R
Effect Of Progerin On Genes Involved In Progeria WP4320,1/37,0.0183506949831896,0.0256056209067762,0,0,61.58641975308642,246.2279153977221,HDAC1
TNF Related Weak Inducer Of Apoptosis TWEAK Signaling WP2036,1/38,0.0188424272009397,0.0260895145859165,0,0,59.91891891891892,237.97662594437213,HDAC1
ATM Signaling WP2516,1/40,0.019825226718581,0.0270344000707923,0,0,56.84045584045584,222.8600635525676,MDM2
Neural Crest Cell Migration During Development WP4564,1/40,0.019825226718581,0.0270344000707923,0,0,56.84045584045584,222.8600635525676,STAT3
Neural Crest Cell Migration In Cancer WP4565,1/43,0.0212977650246516,0.0286089380928155,0,0,52.77248677248677,203.12938317607103,STAT3
Inflammatory Bowel Disease Signaling WP5198,1/43,0.0212977650246516,0.0286089380928155,0,0,52.77248677248677,203.12938317607103,STAT3
Notch Signaling WP268,1/44,0.0217881685512207,0.0290508914016276,0,0,51.542635658914726,197.22213203300183,HDAC1
Rett Syndrome WP4312,1/48,0.0237475721230066,0.0307522516700804,0,0,47.14657210401892,176.3411440394006,HDAC1
Microtubule Cytoskeleton Regulation WP2038,1/48,0.0237475721230066,0.0307522516700804,0,0,47.14657210401892,176.3411440394006,STAT3
Pluripotent Stem Cell Differentiation Pathway WP2848,1/48,0.0237475721230066,0.0307522516700804,0,0,47.14657210401892,176.3411440394006,HGF
Energy Metabolism WP1541,1/48,0.0237475721230066,0.0307522516700804,0,0,47.14657210401892,176.3411440394006,HDAC1
Copper Homeostasis WP3286,1/51,0.0252148061968427,0.0324190365387977,0,0,44.31111111111111,163.07924167915206,MDM2
Apoptosis Related Network Due To Altered Notch3 Ovarian Cancer WP2864,1/53,0.0261918594705427,0.0332009486246317,0,0,42.6025641025641,155.17160141847094,HDAC1
NRP1 Triggered Signaling In Pancreatic Cancer WP5144,1/53,0.0261918594705427,0.0332009486246317,0,0,42.6025641025641,155.17160141847094,HGF
Overlap Between Signal Transduction Pathways LMNA Laminopathies WP4879,1/55,0.0271680313352525,0.0339600391690657,0,0,41.02057613168724,147.90847858667095,HDAC1
DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959,1/55,0.0271680313352525,0.0339600391690657,0,0,41.02057613168724,147.90847858667095,MDM2
Neurogenesis Regulation In The Olfactory Epithelium WP5265,1/57,0.0281433225032358,0.0349365382798789,0,0,39.5515873015873,141.21677360109922,STAT3
15Q11Q13 Copy Number Variation WP5407,1/58,0.0286306380412391,0.0352980469001579,0,0,38.85575048732944,138.06527849839193,HDAC1
TAR Syndrome WP5362,1/62,0.0305777019615051,0.0370298370050848,0,0,36.30054644808743,126.59758326788086,STAT3
Lung Fibrosis WP3624,1/63,0.0310639188209322,0.0370298370050848,0,0,35.71326164874552,123.9860268803296,HGF
Endochondral Ossification WP474,1/63,0.0310639188209322,0.0370298370050848,0,0,35.71326164874552,123.9860268803296,IGF1R
Endochondral Ossification With Skeletal Dysplasias WP4808,1/63,0.0310639188209322,0.0370298370050848,0,0,35.71326164874552,123.9860268803296,IGF1R
Endometrial Cancer WP4155,1/63,0.0310639188209322,0.0370298370050848,0,0,35.71326164874552,123.9860268803296,ERBB2
G1 To S Cell Cycle Control WP45,1/64,0.0315499162070124,0.0373617428767252,0,0,35.14462081128748,121.46628828977606,MDM2
Pathways Affected In Adenoid Cystic Carcinoma WP3651,1/65,0.0320356942028436,0.0376890520033454,0,0,34.59375,119.03379191454992,ERBB2
Physico Chemical Features And Toxicity Associated Pathways WP3680,1/66,0.0325212529076381,0.0380118540478886,0,0,34.05982905982906,116.68425597420442,ERBB2
Melanoma WP4685,1/68,0.0334917127632155,0.0388936019185728,0,0,33.03980099502488,112.21827165973409,MDM2
Burn Wound Healing WP5055,1/74,0.0363978383040335,0.0419975057354233,0,0,30.315068493150687,100.4412761916998,HGF
Clock Controlled Autophagy In Bone Metabolism WP5205,1/80,0.03929609749471,0.0450528506308777,0,0,28.0042194092827,90.63929849888726,JAK2
Clear Cell Renal Cell Carcinoma Pathways WP4018,1/85,0.0417053180950637,0.0475123877032372,0,0,26.33068783068783,83.65592938917332,STAT3
T Cell Activation SARS CoV 2 WP5098,1/88,0.0431482391729825,0.0485417690696053,0,0,25.41890166028097,79.89449726957503,JAK2
Orexin Receptor Pathway WP5094,1/88,0.0431482391729825,0.0485417690696053,0,0,25.41890166028097,79.89449726957503,STAT3
P53 Transcriptional Gene Network WP4963,1/91,0.0445892046624482,0.0498512847157805,0,0,24.567901234567906,76.41264641223972,PML
Thyroid Hormones And Peripheral Downstream Signaling Effects WP4746,1/93,0.0455487630468527,0.0506097367187253,0,0,24.031400966183572,74.2323201774775,MDM2
Hippo Signaling Regulation WP4540,1/98,0.047943865635835,0.0529441461009221,0,0,22.78694158075601,69.220448859451,IGF1R
17Q12 Copy Number Variation Syndrome WP5287,1/100,0.0489003911418304,0.0536711610093261,0,0,22.32435465768799,67.37423003045056,ERBB2
Neural Crest Differentiation WP2064,1/101,0.0493783294859182,0.0538672685300926,0,0,22.1,66.48218412151981,HDAC1
Prader Willi And Angelman Syndrome WP3998,1/102,0.0498560516752303,0.0540607789249485,0,0,21.88008800880088,65.60996868685889,MDM2
Macrophage Stimulating Protein MSP Signaling WP5353,1/108,0.0527178503782264,0.0568216351382081,0,0,20.64693665628245,60.75982922373895,IGF1R
5Q35 Copy Number Variation WP5380,1/109,0.0531940618974191,0.0569936377472348,0,0,20.454732510288064,60.01026825392258,IGF1R
Senescence Associated Secretory Phenotype SASP WP3391,1/113,0.0550967542198212,0.058682933488567,0,0,19.72023809523809,57.16235353894127,STAT3
Effect Of Omega 3 PUFA On Huntington 39 S Disease Pathways WP5470,1/120,0.0584181871042884,0.0614928285308299,0,0,18.55368814192344,52.69484946624011,HDAC1
Hippo Merlin Signaling Dysregulation WP4541,1/120,0.0584181871042884,0.0614928285308299,0,0,18.55368814192344,52.69484946624011,IGF1R
Ebola Virus Infection In Host WP4217,1/129,0.0626731600524217,0.0655881907525344,0,0,17.241319444444443,47.75538577401706,IGF1R
NRF2 Pathway WP2884,1/141,0.0683195372380125,0.0710839115771229,0,0,15.753968253968257,42.27671121747236,HGF
Mesodermal Commitment Pathway WP2857,1/145,0.0701948490122624,0.0722004161268985,0,0,15.313271604938272,40.67940505968954,JAK2
Male Infertility WP4673,1/145,0.0701948490122624,0.0722004161268985,0,0,15.313271604938272,40.67940505968954,MDM2
Smith Magenis And Potocki Lupski Syndrome Copy Number Variation WP5381,1/156,0.0753344527600507,0.0770465994136882,0,0,14.21863799283154,36.76680591747282,STAT3
Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706,1/157,0.0758004191937405,0.077085172061431,0,0,14.126780626780628,36.44217021371992,HDAC1
Insulin Signaling WP481,1/160,0.0771970508155352,0.0780644334089682,0,0,13.858141160027952,35.496159958699565,IGF1R
Ras Signaling WP4223,1/184,0.0883019048329127,0.0887952115638228,0,0,12.026108075288404,29.18728732343428,IGF1R
Ciliary Landscape WP4352,1/215,0.1024676245623294,0.1024676245623294,0,0,10.26791277258567,23.39244500807539,HDAC1
