Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PRC2 complex long-term gene silencing through modification of histone tails,1/15,0.0074763281564485,0.0160401222265624,0,0,158.53968253968253,776.212425317664,HDAC1
NO2-dependent IL-12 pathway in NK cells,1/17,0.0084693662805775,0.0180069409208676,0,0,138.70833333333334,661.8190142974174,JAK2
Transcriptional activity regulation by PML,1/18,0.0089655500933473,0.0187245116993803,0,0,130.54248366013073,615.425022203049,PML
Downregulation of MTA-3 in ER-negative breast tumors,1/18,0.0089655500933473,0.0187245116993803,0,0,130.54248366013073,615.425022203049,HDAC1
IGF-1 receptor and longevity,1/19,0.0094615105123957,0.0190847562472256,0,0,123.28395061728396,574.5677163606151,IGF1R
Signaling by FGFR1 fusion mutants,1/19,0.0094615105123957,0.0190847562472256,0,0,123.28395061728396,574.5677163606151,STAT3
TP53 network,1/19,0.0094615105123957,0.0190847562472256,0,0,123.28395061728396,574.5677163606151,MDM2
"Telomeres, telomerase, cellular aging, and immortality",1/19,0.0094615105123957,0.0190847562472256,0,0,123.28395061728396,574.5677163606151,IGF1R
Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway,1/20,0.0099572476243861,0.0196430022210622,0,0,116.78947368421052,538.3357753631753,IGF1R
Cell differentiation pathway,1/20,0.0099572476243861,0.0196430022210622,0,0,116.78947368421052,538.3357753631753,STAT3
Oncostatin M,2/311,0.0099879672310485,0.0196430022210622,0,0,15.923139158576053,73.34793720247681,HGF;STAT3
IGF1 signaling pathway,1/21,0.0104527615118676,0.0203872042710807,0,0,110.94444444444444,506.0053047065427,IGF1R
Hypoxia and p53 in the cardiovascular system,1/23,0.0114431199495764,0.0216046104648002,0,0,100.84848484848484,450.8296990682604,MDM2
BAD phosphorylation mediated by IGF1R signaling,1/23,0.0114431199495764,0.0216046104648002,0,0,100.84848484848484,450.8296990682604,IGF1R
Modulation of interferon signaling by chaperones,1/23,0.0114431199495764,0.0216046104648002,0,0,100.84848484848484,450.8296990682604,JAK2
Downregulation of SMAD2/3-SMAD4 transcriptional activity,1/23,0.0114431199495764,0.0216046104648002,0,0,100.84848484848484,450.8296990682604,HDAC1
Inhibition of cellular proliferation by Gleevec,1/24,0.0119379646683197,0.0221839343442792,0,0,96.45893719806764,427.1232267263204,JAK2
Tumor suppressor Arf inhibits ribosomal biogenesis,1/24,0.0119379646683197,0.0221839343442792,0,0,96.45893719806764,427.1232267263204,MDM2
G0 and early G1 pathway,1/25,0.0124325865055395,0.0223976367580712,0,0,92.4351851851852,405.55330287566494,HDAC1
IGF1 receptor signaling through beta-arrestin,1/25,0.0124325865055395,0.0223976367580712,0,0,92.4351851851852,405.55330287566494,IGF1R
SHC1 events in ERBB2 signaling,1/25,0.0124325865055395,0.0223976367580712,0,0,92.4351851851852,405.55330287566494,ERBB2
C-Myc pathway,1/25,0.0124325865055395,0.0223976367580712,0,0,92.4351851851852,405.55330287566494,PML
Physiological and pathological hypertrophy  of the heart,1/26,0.0129269855424658,0.0227669297613578,0,0,88.73333333333333,385.85142072369416,STAT3
CARM1 and regulation of the estrogen receptor,1/26,0.0129269855424658,0.0227669297613578,0,0,88.73333333333333,385.85142072369416,HDAC1
Fibroblast growth factor 1,1/26,0.0129269855424658,0.0227669297613578,0,0,88.73333333333333,385.85142072369416,IGF1R
BAD phosphorylation regulation,1/27,0.0134211618656948,0.0229521318862607,0,0,85.31623931623932,367.7917019980768,IGF1R
CTCF pathway,1/27,0.0134211618656948,0.0229521318862607,0,0,85.31623931623932,367.7917019980768,MDM2
Cell cycle: G2/M checkpoint,1/27,0.0134211618656948,0.0229521318862607,0,0,85.31623931623932,367.7917019980768,MDM2
Control of gene expression by vitamin D receptor,1/27,0.0134211618656948,0.0229521318862607,0,0,85.31623931623932,367.7917019980768,HDAC1
Cell cycle: G1/S checkpoint,1/28,0.0139151155631478,0.0234569090921635,0,0,82.1522633744856,351.18281785053944,HDAC1
Multi-step regulation of transcription by PITX2,1/28,0.0139151155631478,0.0234569090921635,0,0,82.1522633744856,351.18281785053944,HDAC1
IGF1 pathway,1/29,0.0144088467211374,0.0236144987929752,0,0,79.21428571428571,335.8616722924233,IGF1R
S1P/S1P3 pathway,1/29,0.0144088467211374,0.0236144987929752,0,0,79.21428571428571,335.8616722924233,JAK2
Sema4D in semaphorin signaling,1/29,0.0144088467211374,0.0236144987929752,0,0,79.21428571428571,335.8616722924233,ERBB2
Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK),1/29,0.0144088467211374,0.0236144987929752,0,0,79.21428571428571,335.8616722924233,IGF1R
Glutamate binding and activation of AMPA receptors and synaptic plasticity,1/30,0.0149023554252653,0.0237632154078556,0,0,76.47892720306514,321.6884165593148,MDM2
Retinoic acid receptor-mediated signaling,1/30,0.0149023554252653,0.0237632154078556,0,0,76.47892720306514,321.6884165593148,HDAC1
Interleukin-2/STAT5 pathway,1/30,0.0149023554252653,0.0237632154078556,0,0,76.47892720306514,321.6884165593148,JAK1
Signaling by FGFR1 mutants,1/30,0.0149023554252653,0.0237632154078556,0,0,76.47892720306514,321.6884165593148,STAT3
Arf6 signal transduction regulation,1/35,0.0173665651965465,0.0269638775420064,0,0,65.2156862745098,264.33277144453854,HGF
Interleukin-2/PI3K pathway,1/35,0.0173665651965465,0.0269638775420064,0,0,65.2156862745098,264.33277144453854,JAK1
MEF2D role in T cell apoptosis,1/35,0.0173665651965465,0.0269638775420064,0,0,65.2156862745098,264.33277144453854,HDAC1
EGF receptor (ErbB1) signaling pathway,1/35,0.0173665651965465,0.0269638775420064,0,0,65.2156862745098,264.33277144453854,STAT3
PI3K/AKT activation,1/37,0.0183506949831896,0.0283056471636127,0,0,61.58641975308642,246.2279153977221,MDM2
