Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Negative Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904357),28-Jan,0.02627898816211653,0.09982545942863763,0,0,41.05761316872428,149.40806261137496,PML
Positive Regulation of Defense Response to Virus by Host (GO:0002230),29-Jan,0.027205316711375317,0.09982545942863763,0,0,39.589285714285715,142.69335919589085,PML
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),2/277,0.027987548735728198,0.09982545942863763,0,0,8.430374331550802,30.146981142678893,GALNT11;AHI1
Negative Regulation of Mitotic Cell Cycle (GO:0045930),30-Jan,0.028130810426474934,0.09982545942863763,0,0,38.22222222222222,136.48734525751556,PML
Regulation of Mitochondrion Organization (GO:0010821),30-Jan,0.028130810426474934,0.09982545942863763,0,0,38.22222222222222,136.48734525751556,STAT2
Morphogenesis of an Epithelium (GO:0002009),31-Jan,0.02905547000861942,0.09982545942863763,0,0,36.946296296296296,130.736261970552,AHI1
Determination of Bilateral Symmetry (GO:0009855),31-Jan,0.02905547000861942,0.09982545942863763,0,0,36.946296296296296,130.736261970552,GALNT11
Regulation of Protein Modification Process (GO:0031399),31-Jan,0.02905547000861942,0.09982545942863763,0,0,36.946296296296296,130.736261970552,STAT2
"DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0030330)",Jan-32,0.0299792961708411,0.09982545942863763,0,0,35.75268817204301,125.39355349635466,PML
Negative Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000134),Jan-32,0.0299792961708411,0.09982545942863763,0,0,35.75268817204301,125.39355349635466,GFI1B
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),2/296,0.031627142599345154,0.09982545942863763,0,0,7.877951180472189,27.208391833229687,AHI1;IGF1R
Negative Regulation of Small Molecule Metabolic Process (GO:0062014),Jan-34,0.031824451052594106,0.09982545942863763,0,0,33.582491582491585,115.77632426352072,DKKL1
Positive Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),Jan-35,0.03274578118305316,0.09982545942863763,0,0,32.59313725490196,111.43532169951338,OLFM4
Cellular Response to Amyloid-Beta (GO:1904646),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,IGF1R
Regulation of Type I Interferon-Mediated Signaling Pathway (GO:0060338),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,STAT2
Regulatory ncRNA Processing (GO:0070918),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,TDRD9
Cytoplasmic Translational Initiation (GO:0002183),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,EIF4B
Left/Right Pattern Formation (GO:0060972),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,GALNT11
Negative Regulation of Cell Cycle G1/S Phase Transition (GO:1902807),Jan-36,0.0336662807139245,0.09982545942863763,0,0,31.66031746031746,107.36832116912788,GFI1B
Cellular Response to Glucose Stimulus (GO:0071333),Jan-37,0.03458595035428571,0.09982545942863763,0,0,30.77932098765432,103.55110778477112,IGF1R
Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:0072332),Jan-37,0.03458595035428571,0.09982545942863763,0,0,30.77932098765432,103.55110778477112,PML
Regulation of Cell Population Proliferation (GO:0042127),3/769,0.034665340443016605,0.09982545942863763,0,0,4.7034105744125325,15.812936552833058,STAT2;PML;IGF1R
Regulation of Defense Response to Virus by Host (GO:0050691),Jan-38,0.03550479080110603,0.09982545942863763,0,0,29.945945945945947,99.96219201416403,PML
Male Meiotic Nuclear Division (GO:0007140),Jan-38,0.03550479080110603,0.09982545942863763,0,0,29.945945945945947,99.96219201416403,TDRD9
O-glycan Processing (GO:0016266),Jan-38,0.03550479080110603,0.09982545942863763,0,0,29.945945945945947,99.96219201416403,GALNT11
Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0043491),Jan-39,0.036422802764502916,0.09982545942863763,0,0,29.156432748538013,96.58244018092803,IGF1R
