ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7944096,1,0.6041702,-0.5200827,-5.301,-0.03271938,RNF214,ring finger protein 214
8003806,1,0.6041727,-0.5200792,-5.301,-0.05839011,OR1D4///OR1D5///OR1D2,olfactory receptor family 1 subfamily D member 4 (gene/pseudogene)///olfactory receptor family 1 subfamily D member 5///olfactory receptor family 1 subfamily D member 2
7918034,1,0.6041794,0.5200695,-5.301,0.02460549,DPH5,diphthamide biosynthesis 5
7970498,1,0.6041897,0.5200548,-5.301,0.02149869,LATS2,large tumor suppressor kinase 2
8029958,1,0.6041911,0.5200527,-5.301,0.02477484,GLTSCR2,glioma tumor suppressor candidate region gene 2
8010080,1,0.6042074,0.5200291,-5.301,0.02647625,SNORD1B,"small nucleolar RNA, C/D box 1B"
8067869,1,0.6042674,-0.5199429,-5.301,-0.0324857,RBM11,RNA binding motif protein 11
8170119,1,0.6043423,0.519835,-5.301,0.04087481,FHL1,four and a half LIM domains 1
7909441,1,0.6043495,0.5198245,-5.301,0.02820528,G0S2,G0/G1 switch 2
8120342,1,0.6044479,0.5196829,-5.301,0.04652394,HCRTR2,hypocretin receptor 2
7952373,1,0.6045676,0.5195105,-5.301,0.049761,OR6X1,olfactory receptor family 6 subfamily X member 1
8025142,1,0.6046464,0.5193971,-5.302,0.01952103,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18
8127500,1,0.6047314,0.5192747,-5.302,0.05636871,MIR30A,microRNA 30a
8093086,1,0.6047345,-0.5192703,-5.302,-0.0403886,PCYT1A,"phosphate cytidylyltransferase 1, choline, alpha"
8077211,1,0.6047448,0.5192555,-5.302,0.02639081,ATG4B,autophagy related 4B cysteine peptidase
7998002,1,0.6047452,0.5192549,-5.302,0.02545876,ZNF276,zinc finger protein 276
7978846,1,0.6047551,0.5192407,-5.302,0.04612446,POLE2,"DNA polymerase epsilon 2, accessory subunit"
8090395,1,0.6047886,-0.5191924,-5.302,-0.02711971,TXNRD3NB///TXNRD3,thioredoxin reductase 3 neighbor///thioredoxin reductase 3
7949948,1,0.6048033,-0.5191713,-5.302,-0.04090881,C11orf24,chromosome 11 open reading frame 24
8085287,1,0.6048036,-0.5191708,-5.302,-0.06345092,BRK1,"BRICK1, SCAR/WAVE actin nucleating complex subunit"
7985577,1,0.6048745,-0.5190688,-5.302,-0.01400904,ZSCAN2,zinc finger and SCAN domain containing 2
7946728,1,0.6048872,-0.5190505,-5.302,-0.0311979,PSMA1,proteasome subunit alpha 1
7979927,1,0.6048945,0.51904,-5.302,0.03260576,ADAM20,ADAM metallopeptidase domain 20
8075550,1,0.6049113,-0.5190158,-5.302,-0.02491167,C22orf24,chromosome 22 open reading frame 24
8084766,1,0.6049134,-0.5190127,-5.302,-0.03683958,TP63,tumor protein p63
8076937,1,0.6049264,0.5189941,-5.302,0.01736603,HDAC10,histone deacetylase 10
7980142,1,0.6049613,0.5189439,-5.302,0.02467128,SYNDIG1L,synapse differentiation inducing 1 like
7937059,1,0.6049657,0.5189375,-5.302,0.02159925,TCERG1L,transcription elongation regulator 1 like
7900129,1,0.6049679,0.5189343,-5.302,0.01929555,SH3D21,SH3 domain containing 21
8034249,1,0.605134,0.5186953,-5.302,0.02178779,CCDC151,coiled-coil domain containing 151
8167656,1,0.6051448,-0.5186798,-5.302,-0.03212617,MAGED1,MAGE family member D1
8095148,1,0.6052476,-0.5185318,-5.302,-0.02168723,TMEM165,transmembrane protein 165
7964687,1,0.6053174,0.5184313,-5.302,0.02683819,C12orf56,chromosome 12 open reading frame 56
8135827,1,0.6053571,0.5183742,-5.302,0.0355518,HYAL4,hyaluronoglucosaminidase 4
7971813,1,0.605378,0.5183442,-5.302,0.03278692,THSD1,thrombospondin type 1 domain containing 1
8040843,1,0.6053905,0.5183262,-5.302,0.01705475,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
7899087,1,0.6054111,0.5182965,-5.302,0.01942447,PDIK1L,PDLIM1 interacting kinase 1 like
7906767,1,0.6054692,0.518213,-5.302,0.02953821,FCGR2C///FCGR2B,Fc fragment of IgG receptor IIc (gene/pseudogene)///Fc fragment of IgG receptor IIb
8143697,1,0.6055438,0.5181057,-5.302,0.02251959,ZNF786,zinc finger protein 786
8115907,1,0.6056188,-0.5179978,-5.302,-0.0237786,NOP16,NOP16 nucleolar protein
7928545,1,0.605639,0.5179686,-5.302,0.02913643,DLG5-AS1,DLG5 antisense RNA 1
7954985,1,0.6056681,0.5179268,-5.302,0.02178525,TMEM117,transmembrane protein 117
7944825,1,0.6057061,0.5178722,-5.302,0.04518192,OR10D1P,olfactory receptor family 10 subfamily D member 1 pseudogene
8114691,1,0.6057144,-0.5178601,-5.302,-0.03266538,HDAC3,histone deacetylase 3
7992670,1,0.6057247,-0.5178454,-5.302,-0.01943643,PDPK1,3-phosphoinositide dependent protein kinase 1
8094101,1,0.6057306,0.5178369,-5.302,0.02034192,CPZ,carboxypeptidase Z
8169447,1,0.6057737,-0.5177749,-5.302,-0.03059986,HTR2C,5-hydroxytryptamine receptor 2C
